name,focus,lead,description,scope,partners,priority_pop,additional_involvement,contact_name,contact_email,url
Just San Bernardino ,Inclusive Econ and Workforce Devt,,"The People’s Plan for Economic Inclusion will uplift the conditions, values, vision, and priorities needed to model a human-centered economy. This plan and the strategies used to develop it will address the lack of economic mobility of low-income communities through the lens of labor, housing, education, environmental justice, economic development, arts/culture, and healthcare.",City of San Bernardino ,"Nonprofits - advocates / base builders, Nonprofits - service providers,, Philanthropy - national funder, Philanthropy - state funder, Philanthropy - local funder","No priority populations (general), Black communities, American Indian / Native / Indigenous communities, Asian American communities, Hispanic / Latino / Latinx communities, Homelessness/Housing insecurity, Native Hawaiian / Pacific Islander communities, LGBTQ+ communities, Low-income residents, People with disabilities, Undocumented individuals and families, Youth/Students",,,JustSB@gmail.com,http://www.justsb.org/
High Road Training Partnership (HRTP),Inclusive Econ and Workforce Devt,IE Labor Institute,,San Bernardino County and Riverside County,,,,,,
Rethink Public Safety,Justice,Congregations Organized for Prophetic Engagement ,"Rethink Public Safety is an initiative to promote responsible, restorative, and redemptive approaches to justice reform in schools and communities throughout the Inland Valley Region",City of San Bernardino ,,,,Samuel L. Casey,scasey@copesite.org ,https://copesite.org/our-work/justice-reform/
Antiracist Riverside,Justice,,,City of Riverside ,,,,Janice Rooths ,janice.rooths@gmail.com ,
Inland Empire Black Equity Fund,Justice,"BLU Educational Foundation, COPE","The IE Black Equity Fund is the first known regional pooled fund on Black equity that brings together statewide, regional and local funders as well as private donors and corporate philanthropy, working in partnership with leaders of the Inland Empire Black Equity Initiative to advance their priority issues.",San Bernardino County and Riverside County,"Academic / colleges or universities, Nonprofits - advocates / base builders, Nonprofits - service providers, Philanthropy - national funder, Philanthropy - state funder, Philanthropy - local funder",Black communities,,"Felicia Jones, Margarita Luna","fjones@copseiste.org, dinalwalker@gmail.com, scasey@copesite.org ",https://blackequity.org/
Black Equity Initiative of the IE,Justice,"BLU Educational Foundation, COPE","The Black Equity Initiative was formed in 2014 and is composed of Inland Empire organizations that share a desire to improve social conditions through empowerment, education, and policy change. Guided by a deep commitment to the liberation and self-determination of black people, this work advances our mission by helping us to deepen our influence and reach for educational equity throughout the region.",San Bernardino County and Riverside County,"Academic / colleges or universities, Nonprofits - advocates / base builders, Nonprofits - service providers, Philanthropy - national funder, Philanthropy - state funder, Philanthropy - local funder",Black communities,,"Felicia Jones, Dina Walker, Samuel L. Casey ","fjones@copseiste.org, dinalwalker@gmail.com, scasey@copesite.org ",https://blackequity.org/
Disability (Stephanie Congdon),Justice,,,,,,,,,
Women's Policy Institute - Local,Justice,Women's Foundation's California ,"WPI Local is a policy advocacy and leadership training fellowship focused on building strong policy and budget advocates at the local level. WPI Local is run in both English and Spanish. To date, WPI has trained more than 500 advocates and organizers who have passed 43 new laws or local policies improving the health, safety, and economic wellbeing of their communities statewide. WPI Fellows build community power and shift the status quo.",San Bernardino County and Riverside County,"Academic / colleges or universities, Nonprofits - advocates / base builders, Nonprofits - service providers, Govt agency - Federal, Govt agency - State, Govt agency - Local, Philanthropy - national funder, Philanthropy - state funder, Philanthropy - local funder","No priority populations (general), Black communities, American Indian / Native / Indigenous communities, Asian American communities, Hispanic / Latino / Latinx communities, Homelessness/Housing insecurity, Native Hawaiian / Pacific Islander communities, LGBTQ+ communities, Low-income residents, People with disabilities, Undocumented individuals and families, Youth/Students",,Elizabeth Ayala,elizabetha@womensfoundca.org ,https://womensfoundca.org/what-we-do/training/womens-policy-institute/wpi-local/
Desert Consortium,Education Equity,Riverside Community College District,"The Inland Empire/Desert Regional Consortium (IEDRC) serves as a regional framework to communicate, coordinate, collaborate, promote and plan career and technical education and workforce and economic development in the Inland Empire/Desert Region. The region includes nine community college districts comprised of 12 community colleges, two county offices of education, 56 public school districts, four regional occupational centers/programs, and more than 50 charter schools.",San Bernardino County and Riverside County,"Academic / colleges or universities, Large businesses, Small businesses, Nonprofits - service providers","No priority populations (general), Black communities, American Indian / Native / Indigenous communities, Asian American communities, Hispanic / Latino / Latinx communities, Homelessness/Housing insecurity, Native Hawaiian / Pacific Islander communities, LGBTQ+ communities, Low-income residents, People with disabilities, Undocumented individuals and families, Youth/Students",,Jule Pehkonen ,Julie.Pehkonen@rcc.edu,https://desertcolleges.org/
College Exodus Project,Education Equity,BLU Educational Foundation ,"Since 1996, BLU Educational Foundation has worked with communities and schools to address the challenging national problem of low college attendance among students with limited income and opportunities.",San Bernardino County and Riverside County,Academic / colleges or universities,"Black communities, Hispanic / Latino / Latinx communities, Low-income residents, Youth/Students",,Dina Walker ,dinalwalker@gmail.com ,https://www.bluedfoundation.org/college-exodus-project
Youth Mentoring Action Network (YMAN),Education Equity,Youth Mentoring Action Network (YMAN),"The Youth Mentoring Action Network was founded in 2007 with the mission of leveraging the power of mentoring to create a more equitable and just society for young people. Founded by two veteran educators who understood the importance of making solid connections with young people, they recognized that young people were at their best when their voices were heard and they felt fully supported. With those foundational elements in place, the youth they mentored thrived: graduating from high school on time, going off to college, and staying in college once they got there. 100% of our young people have graduated from high school on time with 99% continuing to college. 100% of those who go to college stay in college until graduation. Since 2007, YMAN has been fostering connections with young people in order to help them thrive through in high school, college and community.",San Bernardino County and Riverside County,"Academic / colleges or universities, Nonprofits - advocates / base builders, Nonprofits - service providers, Govt agency - Federal, Govt agency - State, Govt agency - Local,   Other health providers, Philanthropy - national funder, Philanthropy - state funder, Philanthropy - local funder","No priority populations (general), Black communities, American Indian / Native / Indigenous communities, Asian American communities, Hispanic / Latino / Latinx communities, Homelessness/Housing insecurity, Native Hawaiian / Pacific Islander communities, LGBTQ+ communities, Low-income residents, People with disabilities, Undocumented individuals and families, Youth/Students",,Dr. Torie Weiston-Serdan ,weiston@yman.org,https://www.yman.org/
Growing Inland Achievement,"Education Equity, Inclusive Econ and Workforce Devt",Growing Inland Achievement,"GIA is a regional intermediary organization aimed at increasing postsecondary credential attainment, adding more qualified people to the workforce, and contributing to a thriving economy. GIA brings together leaders across K-20 education, civic, and business sectors to work together in new and innovative ways to achieve educational and economic success. GIA's vision is that by 2035, San Bernardino and Riverside Counties will be widely recognized for their educated workforce, thriving communities, and vibrant economy that creates prosperity for all.",San Bernardino County and Riverside County,"Academic / colleges or universities, Nonprofits - advocates / base builders, Nonprofits - service providers, Govt agency - Federal, Govt agency - State, Govt agency - Local, Philanthropy - national funder, Philanthropy - state funder, Philanthropy - local funder","No priority populations (general), Black communities, American Indian / Native / Indigenous communities, Asian American communities, Hispanic / Latino / Latinx communities, Homelessness/Housing insecurity, Native Hawaiian / Pacific Islander communities, LGBTQ+ communities, Low-income residents, People with disabilities, Undocumented individuals and families, Youth/Students",,Ida Hermosillo,ida@inlandempiregia.org ,https://inlandempiregia.org/
Alianza Coachella Valley ,"Education Equity, Inclusive Econ and Workforce Devt",Alianza Coachella Valley ,"Alianza is a nonprofit organization based in the Eastern Coachella Valley. The Community Justice Campaign advocates for the implementation of restorative justice protocols, accountability on their local control funding, and providing training and tools for staff and students to have stronger relationships leading to students empowerment. The Youth Organizing Council supports local youth leadership development and community engagement. 

",Coachella Valley ,"Academic / colleges or universities, Nonprofits - advocates / base builders, Nonprofits - service providers, Govt agency - Federal, Govt agency - State, Govt agency - Local, Community clinics, Other health providers, Philanthropy - national funder, Philanthropy - state funder, Philanthropy - local funder","No priority populations (general), Black communities, American Indian / Native / Indigenous communities, Asian American communities, Hispanic / Latino / Latinx communities, Homelessness/Housing insecurity, Native Hawaiian / Pacific Islander communities, LGBTQ+ communities, Low-income residents, People with disabilities, Undocumented individuals and families, Youth/Students",,Silvia Paz,silvia@alianzacv.org,https://www.alianzacv.org/
Center for Health Disparities Research ,Health Equity,UC Riverside ,"UC Riverside has received a $16-million grand from the National Institutes of Health to help reduce health disparities, particularly among Latinos who make up about half the region’s population. The five-year grant will allow the university’s School of Medicine to launch the Center for Health Disparities Research — an effort that will bring together researchers in the environmental, biomedical and social sciences fields. The new center will use a “community-based approach” to evaluate and improve the health of underserved communities in the Inland Empire.",San Bernardino County and Riverside County,"Academic / colleges or universities, Nonprofits - advocates / base builders, Nonprofits - service providers, Hospitals, Community clinics, Other health providers, Philanthropy - national funder, Philanthropy - state funder, Philanthropy - local funder","No priority populations (general), Black communities, American Indian / Native / Indigenous communities, Asian American communities, Hispanic / Latino / Latinx communities, Homelessness/Housing insecurity, Native Hawaiian / Pacific Islander communities, LGBTQ+ communities, Low-income residents, People with disabilities, Undocumented individuals and families, Youth/Students",,David Lo,david.lo@ucr.edu,https://medschool.ucr.edu/
Doula Access Program,Health Equity,"Riverside Community Health Foundation, Inland Empire Health Plan","The Doula Access Program is a collaboration between IEHP and Riverside Community Health Foundation to provide current pregnant IEHP members with doula support services during pregnancy, labor, birth and the postpartum period. This will be a free service for IEHP Members who live in Riverside or San Bernardino County.",San Bernardino County and Riverside County," Hospitals, Community clinics, Other health providers, Philanthropy - national funder, Philanthropy - state funder, Philanthropy - local funder","No priority populations (general), Black communities, American Indian / Native / Indigenous communities, Asian American communities, Hispanic / Latino / Latinx communities, Homelessness/Housing insecurity, Native Hawaiian / Pacific Islander communities, LGBTQ+ communities, Low-income residents, People with disabilities, Undocumented individuals and families, Youth/Students",,,doula@rchf.org,https://rchf.org/doulainfo/
The Center for Health Equity,Health Equity,CSUSB,"The Center for Health Equity is working to build research capabilities at CSUSB. The primary purpose of the Center for Health Equity is to increase the research, scholarship, and training opportunities for faculty and students in the area of health disparities. In 2007, CSUSB faculty obtained a grant from the National Institute of Minority Health and Health Disparities (NIMHD; P20 MD 002722) to enhance the research infrastructure of minority institutions (RIMI).

The RIMI grant was utilized for six years to support both students and faculty, enhancing their knowledge and research skills related to health equity. This work led to the creation of the Center for Health Equity at CSUSB and also to the certificate in Health Equity and Health Disparities. The center focuses primarily on faculty led research activities and the certificate program provides educational opportunities for students. The center and the certificate are separate but interrelated through the interdisciplinary programs at CSUSB.",San Bernardino County and Riverside County,"Academic / colleges or universities, Nonprofits - advocates / base builders, Nonprofits - service providers, Hospitals, Community clinics, Other health providers, Philanthropy - national funder, Philanthropy - state funder, Philanthropy - local funder","No priority populations (general), Black communities, American Indian / Native / Indigenous communities, Asian American communities, Hispanic / Latino / Latinx communities, Homelessness/Housing insecurity, Native Hawaiian / Pacific Islander communities, LGBTQ+ communities, Low-income residents, People with disabilities, Undocumented individuals and families, Youth/Students",,Paulchris Okpala,pokpala@csusb.edu,https://www.csusb.edu/center-health-equity/about-us
The Environmental Rail Yard Research Impacting Community Health (ENRRICH) Project,Health Equity,Loma Linda University,"The Environmental Rail Yard Research Impacting Community Health (ENRRICH) Project is a collaborative effort involving a number of academic, scientific and community based entities. The research focuses on characterizing the community health burden in residential areas near the San Bernardino Rail Yard (SBR), particularly the negative health outcomes in low-income communities immediately adjacent to the SBR. IHPL's focus is assisting with policy analyses related to the findings of this research.",City of San Bernardino,"Academic / colleges or universities, Large businesses, Small businesses, Nonprofits - advocates / base builders, Nonprofits - service providers, Govt agency - Federal, Govt agency - State, Govt agency - Local, Hospitals, Community clinics, Other health providers, Media (general market), Media (ethnic or community-specific media), Philanthropy - national funder, Philanthropy - state funder, Philanthropy - local funder","No priority populations (general), Black communities, American Indian / Native / Indigenous communities, Asian American communities, Hispanic / Latino / Latinx communities, Homelessness/Housing insecurity, Native Hawaiian / Pacific Islander communities, LGBTQ+ communities, Low-income residents, People with disabilities, Undocumented individuals and families, Youth/Students",,Johanny Valladares,icp@llu.edu,https://icp.llu.edu/community-partnerships/community-engaged-research/project-enrrich
Tri-County Community Partnershio,Health Equity,"Center for Social Innovation, UC Riverside","The Tri-County Community Partnership is an innovative, cross-sectoral and cross-regional effort in Southern California that harnesses the talent and civic energy of government agencies, community media, nonprofits, businesses, and faith-based organizations to collaborate on common solutions to major issues. The TCCP builds on the foundations of 2020 Census outreach in the counties of Imperial, Riverside, and San Bernardino, and is an early national model on rapid response that benefits from investments in civic infrastructure.",San Bernardino County and Riverside County,"Academic / colleges or universities, Nonprofits - advocates / base builders, Nonprofits - service providers, Govt agency - Federal, Govt agency - State, Govt agency - Local, Hospitals, Community clinics, Other health providers, Media (general market), Media (ethnic or community-specific media), Philanthropy - national funder, Philanthropy - state funder, Philanthropy - local funder ","No priority populations (general), Black communities, American Indian / Native / Indigenous communities, Asian American communities, Hispanic / Latino / Latinx communities, Homelessness/Housing insecurity, Native Hawaiian / Pacific Islander communities, LGBTQ+ communities, Low-income residents, People with disabilities, Undocumented individuals and families, Youth/Students",,Paola Avendano,paolaa@ucr.edu,https://iecovidresponse.org/tccp/
Housing First,Housing Equity,City of Riverside ,"Housing First is an approach to quickly and successfully connect individuals and families experiencing homelessness to permanent housing without preconditions and barriers to entry, such as sobriety, treatment or service participation requirements. Supportive services are offered to maximize housing stability and prevent returns to homelessness as opposed to addressing predetermined treatment goals prior to permanent housing entry.",City of Riverside,"Nonprofits - advocates / base builders, Nonprofits - service providers, Govt agency - Federal, Govt agency - State, Govt agency - Local","No priority populations (general), Black communities, American Indian / Native / Indigenous communities, Asian American communities, Hispanic / Latino / Latinx communities, Homelessness/Housing insecurity, Native Hawaiian / Pacific Islander communities, LGBTQ+ communities, Low-income residents, People with disabilities, Undocumented individuals and families, Youth/Students",,,housing@riversideca.gov,https://www.riversideca.gov/homelesssolutions/housing-first
Riverside County Vaccine Equity Partnership,Health Equity,Riverside County Public Health ,,Riverside County ,"Academic / colleges or universities, Large businesses, Small businesses, Nonprofits - advocates / base builders, Nonprofits - service providers, Govt agency - Federal, Govt agency - State, Govt agency - Local, Hospitals, Community clinics, Other health providers, Media (general market), Media (ethnic or community-specific media), Philanthropy - national funder, Philanthropy - state funder, Philanthropy - local funder","No priority populations (general), Black communities, American Indian / Native / Indigenous communities, Asian American communities, Hispanic / Latino / Latinx communities, Homelessness/Housing insecurity, Native Hawaiian / Pacific Islander communities, LGBTQ+ communities, Low-income residents, People with disabilities, Undocumented individuals and families, Youth/Students",,Robin Bishop,robishop@ruhealth.org ,https://www.ruhealth.org/en-us
Call for Collaboration Program ,"Housing Equity, Inclusive Econ and Workforce Devt",SCAG,"In partnership with the California Community Foundation (CCF), SCAG is launching the Call for Collaboration program, which will fund the development of community-based policies and plans that help cities and counties reach 6th Cycle Regional Housing Needs Assessment (RHNA) goals of more than 1.3 million new housing units across the six-county SCAG region over the 2021-2029 planning cycle. The Call for Collaboration aims to increase community involvement in local planning and housing initiatives by promoting community-driven and equitable growth strategies. SCAG is dedicating $1 million of Regional Early Action Planning (REAP) state grant to combine with funds from CCF, the Irvine Foundation, Chan Zuckerberg Initiative, and other funding partners.",Southern California,"Nonprofits - advocates / base builders, Nonprofits - service providers, Govt agency - Federal, Govt agency - State, Govt agency - Local, Philanthropy - national funder, Philanthropy - state funder, Philanthropy - local funder","No priority populations (general), Black communities, American Indian / Native / Indigenous communities, Asian American communities, Hispanic / Latino / Latinx communities, Homelessness/Housing insecurity, Native Hawaiian / Pacific Islander communities, LGBTQ+ communities, Low-income residents, People with disabilities, Undocumented individuals and families, Youth/Students",,Alisha James,james@scag.ca.gov,https://scag.ca.gov/call-collaboration
Air Quality Management Plan ,Transportation and Environment,South Coast AQMD,"The Air Quality Management Plan (AQMP or Plan) is a regional blueprint for achieving air quality standards and healthful air. The 2022 AQMP will represent a comprehensive analysis of emissions, meteorology, regional air quality modeling, regional growth projections, and the impact of existing and proposed control measures. The plan is intended to collaborate with stakeholders to reduce emissions, rather than set heavy regulations.",Southern California,"Govt agency - Federal, Govt agency - State, Govt agency - Local","No priority populations (general), Black communities, American Indian / Native / Indigenous communities, Asian American communities, Hispanic / Latino / Latinx communities, Homelessness/Housing insecurity, Native Hawaiian / Pacific Islander communities, LGBTQ+ communities, Low-income residents, People with disabilities, Undocumented individuals and families, Youth/Students",,Zorik Pirveysian,zpirveysian@aqmd.gov,http://www.aqmd.gov/home/air-quality/clean-air-plans/air-quality-mgt-plan
Indirect Source Rule ,Transportation and Environment,South Coast AQMD,"The purpose of this rule is to reduce local and regional emissions, and to facilitate local and regional emission reductions associated with warehouses and the mobile sources attracted to warehouses.",Southern California,"Govt agency - Federal, Govt agency - State, Govt agency - Local","No priority populations (general), Black communities, American Indian / Native / Indigenous communities, Asian American communities, Hispanic / Latino / Latinx communities, Homelessness/Housing insecurity, Native Hawaiian / Pacific Islander communities, LGBTQ+ communities, Low-income residents, People with disabilities, Undocumented individuals and families, Youth/Students",,Ian Macmillan ,imacmillan@aqmd.gov,http://www.aqmd.gov/home
